,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330
19,23,48,36,45,220,0,0,24,91,58,21.0,18,140,0,779,51,130,32.0,11,1,172,115,64,33,2,130.0,291,0,294,732,266,11,26,89,1063,36,60,232,723,212,,12,13,116.0,49,118,161,85,,0,260,40,108,12,794.0,59,32,53,8,12,6.0,147,213,69,3,99,116,6,1,83,99,14,0,,70.0,13.0,
20,1,84,5,1,9,203,156,7,9,61,68.0,8,111,2095,138,27,4,24.0,44,112,16,198,48,14,111,144.0,357,176,116,101,263,128,347,62,71,63,15,908,0,9,,9,0,89.0,22,33,12,310,,0,47,33,93,10,8.0,28,30,40,46,209,44.0,206,130,21,23,357,55,52,138,135,167,5,9,,0.0,17.0,
21,11,0,63,57,19,19,156,141,36,50,11.0,4,10,8,24,124,33,25.0,307,273,147,583,8,68,39,162.0,19,764,14,18,4,3,379,23,10,0,29,26,17,63,,708,0,92.0,70,87,9,41,,397,20,39,333,10,95.0,13,19,910,22,13,71.0,148,271,32,12,48,40,27,0,17,41,72,18,,27.0,1.0,
22,11,14,135,27,18,49,156,485,42,36,182.0,18,21,13,25,150,4,13.0,56,13,90,149,0,10,66,164.0,41,26,284,100,13,149,20,9,232,132,1,22,31,158,,300,6,2.0,52,87,9,85,,0,0,54,139,14,96.0,131,22,20,28,74,4.0,62,117,46,110,114,60,2,26,0,11,12,26,,69.0,0.0,
23,329,4,3,0,20,49,0,29,152,37,23.0,70,367,545,79,8,11,7.0,10,9,27,194,248,19,1,143.0,25,297,38,15,70,39,9,13,13,33,137,22,51,39,,89,69,17.0,0,50,18,118,,0,44,33,10,26,76.0,2,232,88,9,325,26.0,53,99,4,40,16,1,155,45,25,1,40,12,,30.0,55.0,
24,15,19,22,27,156,3,156,21,60,85,13.0,39,71,194,11,66,7,21.0,47,8,0,5,181,107,244,159.0,17,561,294,317,9,79,142,31,52,63,122,135,69,79,,0,121,44.0,30,30,76,63,,420,8,37,130,43,204.0,0,132,41,14,1167,19.0,0,113,13,19,35,46,134,0,0,54,428,3,,32.0,8.0,
25,361,12,251,0,70,1,156,24,162,64,,39,11,4,0,341,93,46.0,54,0,9,38,396,1,1,138.0,43,362,72,44,2,0,29,80,73,37,80,9,91,19,,460,72,7.0,222,334,85,102,,0,24,51,85,21,8.0,12,3,168,165,394,5.0,110,114,50,8,403,149,38,10,22,4,428,10,,55.0,,
26,1,23,414,0,8,128,64,26,89,3,,5,32,15,126,0,34,14.0,111,56,12,255,44,44,9,17.0,17,40,15,35,10,25,513,3,272,517,12,17,59,91,,81,53,49.0,183,15,3,0,,524,41,45,95,24,0.0,53,10,78,10,14,28.0,595,147,13,108,61,7,14,43,71,1,735,99,,18.0,,
27,342,68,414,5,18,78,156,842,10,31,,11,36,220,31,7,259,11.0,3,16,28,23,237,159,681,,260,3,294,81,22,7,98,164,401,1,745,46,303,13,,463,153,14.0,15,90,0,20,,3,84,65,122,10,5.0,9,7,94,46,228,199.0,71,12,87,84,14,122,1,54,35,0,424,209,,17.0,,
28,4,22,414,93,46,441,156,241,107,80,,21,10,92,126,40,337,84.0,19,246,40,646,69,42,7,,61,94,24,13,9,118,4,20,24,140,158,13,73,227,,82,131,168.0,317,459,48,180,,29,56,2,81,9,20.0,25,0,9,3,764,20.0,184,68,80,0,33,71,7,82,830,27,89,213,,4.0,,
29,4,15,414,21,287,53,167,424,59,32,,273,12,121,245,13,288,19.0,0,6,27,152,40,6,17,,77,14,12,11,75,40,284,166,3,33,723,16,5,18,,62,11,23.0,101,152,91,148,,308,34,41,80,78,28.0,41,46,359,40,53,26.0,0,0,39,12,4,90,846,82,0,114,65,812,,12.0,,
30,5,2,243,4,65,0,167,12,120,25,,273,0,9,5,12,28,18.0,0,62,5,142,321,16,1607,,86,24,31,23,92,60,3,4,110,35,86,13,198,207,,75,26,12.0,64,56,0,21,,61,122,23,12,0,126.0,0,59,0,28,165,142.0,798,61,13,8,86,30,327,126,95,35,216,6,,,,
31,0,23,243,148,8,9,167,23,107,4,,192,32,167,49,1,13,176.0,0,0,23,61,19,47,13,,187,40,294,343,129,52,53,44,23,22,6,166,83,106,,6,50,35.0,12,3,819,131,,38,17,5,225,161,19.0,46,731,29,11,3,0.0,1,11,109,313,74,85,21,5,21,78,9,107,,,,
32,14,425,243,3,11,61,167,10,459,21,,100,44,166,0,21,153,74.0,122,34,36,200,117,155,195,,8,10,63,19,1,59,62,11,516,5,0,102,77,24,,71,0,8.0,18,373,62,326,,33,133,51,203,14,42.0,6,22,0,17,214,33.0,429,1,6,136,1,473,18,418,94,2,62,19,,,,
33,10,425,243,5,6,97,167,211,0,0,,18,173,35,39,57,828,49.0,79,24,97,302,19,272,21,,9,10,9,444,0,61,47,218,203,25,20,90,2,126,,58,108,31.0,525,124,3,147,,0,288,55,162,20,82.0,11,131,0,11,752,40.0,235,339,42,7,19,68,17,0,491,9,64,50,,,,
